SIP Date,AvgNav,Units,Terms,AmtInvsted,AvgAbsReturns,AvgAbsReturns%
16,20.2892,17743.4023,36,360000,417372.729,15.937
15,20.3004,17733.6552,36,360000,417143.451,15.873
18,20.309,17726.1071,36,360000,416965.899,15.824
20,20.3095,17725.6874,36,360000,416956.027,15.821
17,20.3118,17723.7081,36,360000,416909.469,15.808
19,20.3231,17713.8053,36,360000,416676.528,15.744
24,20.3276,17709.8928,36,360000,416584.495,15.718
21,20.3279,17709.636,36,360000,416578.455,15.716
22,20.3356,17702.949,36,360000,416421.158,15.673
23,20.3415,17697.8311,36,360000,416300.772,15.639
29,20.3516,16706.2825,34,340000,392976.871,15.582
25,20.358,17683.4806,36,360000,415963.209,15.545
27,20.3663,17676.2946,36,360000,415794.175,15.498
26,20.3764,17667.4816,36,360000,415586.869,15.441
28,20.3846,17660.3555,36,360000,415419.244,15.394
11,20.4367,17615.3282,36,360000,414360.081,15.1
4,20.4429,17610.0079,36,360000,414234.933,15.065
3,20.4436,17609.3971,36,360000,414220.565,15.061
12,20.4436,17609.421,36,360000,414221.127,15.061
6,20.4486,17605.1365,36,360000,414120.344,15.033
5,20.4488,17604.9779,36,360000,414116.614,15.032
2,20.4561,17598.6378,36,360000,413967.477,14.991
1,20.4659,17590.2562,36,360000,413770.32,14.936
7,20.4667,17589.5655,36,360000,413754.072,14.932
13,20.4713,17585.5755,36,360000,413660.217,14.906
10,20.4762,17581.4081,36,360000,413562.188,14.878
14,20.4772,17580.5557,36,360000,413542.138,14.873
9,20.4803,17577.8865,36,360000,413479.351,14.855
8,20.4905,17569.1495,36,360000,413273.833,14.798
30,20.5756,16038.4367,33,330000,377267.335,14.323
