SIP Date,AvgNav,Units,Terms,AmtInvsted,AvgAbsReturns,AvgAbsReturns%
28,16.3441,40381.4899,66,660000,949881.672,43.922
29,16.3521,37915.5164,62,620000,891875.318,43.851
30,16.3662,37271.8384,61,610000,876734.273,43.727
16,16.3817,39678.4806,65,650000,933344.996,43.591
15,16.3894,39659.8763,65,650000,932907.372,43.524
6,16.4064,40228.1091,66,660000,946273.742,43.375
1,16.4106,40217.9545,66,660000,946034.878,43.338
17,16.4125,39604.0581,65,650000,931594.377,43.322
3,16.4141,40209.4154,66,660000,945834.016,43.308
4,16.4169,40202.4869,66,660000,945671.039,43.283
7,16.4173,40201.4821,66,660000,945647.403,43.28
5,16.4244,40184.0915,66,660000,945238.329,43.218
2,16.4253,40181.9939,66,660000,945188.988,43.21
8,16.4352,40157.8014,66,660000,944619.915,43.124
11,16.4368,40153.8846,66,660000,944527.781,43.11
12,16.442,40141.0956,66,660000,944226.949,43.065
10,16.443,40138.7341,66,660000,944171.401,43.056
9,16.4452,40133.3826,66,660000,944045.519,43.037
13,16.4463,40130.5491,66,660000,943978.867,43.027
18,16.4467,39521.5753,65,650000,929654.159,43.024
14,16.4522,40116.1255,66,660000,943639.585,42.976
25,16.4559,39499.4128,65,650000,929132.837,42.944
24,16.4628,39482.9629,65,650000,928745.891,42.884
26,16.4633,39481.795,65,650000,928718.419,42.88
19,16.4671,39472.6527,65,650000,928503.368,42.847
27,16.471,39463.264,65,650000,928282.52,42.813
20,16.4728,39458.9686,65,650000,928181.481,42.797
22,16.4777,39447.2041,65,650000,927904.748,42.755
21,16.4785,39445.3694,65,650000,927861.591,42.748
23,16.4848,39430.2491,65,650000,927505.921,42.693
