SIP Date,AvgNav,Units,Terms,AmtInvsted,AvgAbsReturns,AvgAbsReturns%
16,17.288,34706.1186,60,600000,816381.616,36.064
15,17.2938,34694.5765,60,600000,816110.115,36.018
17,17.3291,34623.8655,60,600000,814446.801,35.741
14,17.3484,35161.7235,61,610000,827098.673,35.59
18,17.3569,34568.4588,60,600000,813143.486,35.524
19,17.3773,34527.7783,60,600000,812186.571,35.365
25,17.3863,34509.8485,60,600000,811764.813,35.294
20,17.387,34508.4968,60,600000,811733.018,35.289
24,17.3916,34499.412,60,600000,811519.319,35.253
26,17.3951,34492.4392,60,600000,811355.3,35.226
21,17.4008,34481.1619,60,600000,811090.027,35.182
22,17.4038,34475.1887,60,600000,810949.521,35.158
23,17.4087,34465.6051,60,600000,810724.089,35.12
27,17.4112,34460.6492,60,600000,810607.513,35.101
28,17.4474,34389.0679,60,600000,808923.727,34.821
6,17.513,34260.1877,60,600000,805892.117,34.316
1,17.5164,34253.6131,60,600000,805737.465,34.29
3,17.5208,34244.9802,60,600000,805534.396,34.256
7,17.522,34242.583,60,600000,805478.007,34.247
4,17.5259,34234.9857,60,600000,805299.298,34.217
13,17.5261,34234.5864,60,600000,805289.906,34.215
12,17.5276,34231.8129,60,600000,805224.665,34.204
11,17.5287,34229.5818,60,600000,805172.184,34.195
2,17.5291,34228.7803,60,600000,805153.33,34.192
5,17.5291,34228.8013,60,600000,805153.824,34.192
29,17.5369,31932.6809,56,560000,751142.873,34.133
8,17.5436,34200.5975,60,600000,804490.395,34.081
10,17.5447,34198.2868,60,600000,804436.041,34.073
9,17.5504,34187.2312,60,600000,804175.983,34.029
30,17.5792,31287.0083,55,550000,735954.91,33.81
