Scheme Code;Net Asset Value;Repurchase Price;Sale Price;Date
100471;Franklin India Bluechip Fund-Growth;89.6300;89.6300;91.6900;08-Jun-2006
100471;Franklin India Bluechip Fund-Growth;94.3100;94.3100;96.4800;09-Jun-2006
100471;Franklin India Bluechip Fund-Growth;91.6500;91.6500;93.7600;12-Jun-2006
100471;Franklin India Bluechip Fund-Growth;87.4100;87.4100;89.4200;13-Jun-2006
100471;Franklin India Bluechip Fund-Growth;85.3700;85.3700;87.3400;14-Jun-2006
100471;Franklin India Bluechip Fund-Growth;91.4800;91.4800;93.5900;15-Jun-2006
100471;Franklin India Bluechip Fund-Growth;94.28;94.28;96.41;16-Jun-2006
100471;Franklin India Bluechip Fund-Growth;95.07;95.07;97.21;19-Jun-2006
100471;Franklin India Bluechip Fund-Growth;93.81;93.81;95.92;20-Jun-2006
100471;Franklin India Bluechip Fund-Growth;95.97;95.97;98.13;21-Jun-2006
100471;Franklin India Bluechip Fund-Growth;98.03;98.03;100.24;22-Jun-2006
100471;Franklin India Bluechip Fund-Growth;98.43;98.43;100.64;23-Jun-2006
100471;Franklin India Bluechip Fund-Growth;95.41;95.41;97.56;26-Jun-2006
100471;Franklin India Bluechip Fund-Growth;95.91;95.91;98.07;27-Jun-2006
100471;Franklin India Bluechip Fund-Growth;95.9;95.9;98.06;28-Jun-2006
100471;Franklin India Bluechip Fund-Growth;96.6900;96.6900;98.8655;29-Jun-2006
100471;Franklin India Bluechip Fund-Growth;100.38;100.38;102.64;30-Jun-2006
100471;Franklin India Bluechip Fund-Growth;100.88;100.88;103.15;03-Jul-2006
100471;Franklin India Bluechip Fund-Growth;100.6200;100.62;102.88;04-Jul-2006
100471;Franklin India Bluechip Fund-Growth;102.5700;102.57;104.88;05-Jul-2006
100471;Franklin India Bluechip Fund-Growth;101.25;101.25;103.53;06-Jul-2006
100471;Franklin India Bluechip Fund-Growth;99.20;99.20;101.48;07-Jul-2006
100471;Franklin India Bluechip Fund-Growth;100.86;100.86;103.18;10-Jul-2006
100471;Franklin India Bluechip Fund-Growth;99.93;99.93;102.18;11-Jul-2006
100471;Franklin India Bluechip Fund-Growth;102.65;102.65;104.96;12-Jul-2006
100471;Franklin India Bluechip Fund-Growth;102.07;102.07;104.37;13-Jul-2006
100471;Franklin India Bluechip Fund-Growth;100.86;100.86;103.13;14-Jul-2006
100471;Franklin India Bluechip Fund-Growth;98.20;98.20;100.41;17-Jul-2006
100471;Franklin India Bluechip Fund-Growth;97.39;97.39;99.58;18-Jul-2006
100471;Franklin India Bluechip Fund-Growth;95.50;95.50;97.65;19-Jul-2006
100471;Franklin India Bluechip Fund-Growth;98.16;98.16;100.37;20-Jul-2006
100471;Franklin India Bluechip Fund-Growth;95.55;95.55;97.7;21-Jul-2006
100471;Franklin India Bluechip Fund-Growth;95.95;95.95;98.11;24-Jul-2006
100471;Franklin India Bluechip Fund-Growth;97.59;97.59;99.79;25-Jul-2006
100471;Franklin India Bluechip Fund-Growth;99.81;99.81;102.06;26-Jul-2006
100471;Franklin India Bluechip Fund-Growth;101.03;101.03;103.3;27-Jul-2006
100471;Franklin India Bluechip Fund-Growth;100.7;100.7;102.97;28-Jul-2006
100471;Franklin India Bluechip Fund-Growth;101.54;101.54;103.82;31-Jul-2006
100471;Franklin India Bluechip Fund-Growth;101.39;101.39;103.67;01-Aug-2006
100471;Franklin India Bluechip Fund-Growth;102.69;102.69;105.00;02-Aug-2006
100471;Franklin India Bluechip Fund-Growth;102.93;102.93;105.25;03-Aug-2006
100471;Franklin India Bluechip Fund-Growth;102.59;102.59;104.90;04-Aug-2006
100471;Franklin India Bluechip Fund-Growth;102.06;102.06;104.36;07-Aug-2006
100471;Franklin India Bluechip Fund-Growth;103.28;103.28;105.60;08-Aug-2006
100471;Franklin India Bluechip Fund-Growth;104.91;104.91;107.27;09-Aug-2006
100471;Franklin India Bluechip Fund-Growth;105.48;105.48;107.85;10-Aug-2006
100471;Franklin India Bluechip Fund-Growth;106.23;106.23;108.62;11-Aug-2006
100471;Franklin India Bluechip Fund-Growth;107.28;107.28;109.69;14-Aug-2006
100471;Franklin India Bluechip Fund-Growth;108.57;108.57;111.01;16-Aug-2006
100471;Franklin India Bluechip Fund-Growth;108.98;108.98;111.43;17-Aug-2006
100471;Franklin India Bluechip Fund-Growth;109.00;109.00;111.45;18-Aug-2006
100471;Franklin India Bluechip Fund-Growth;109.87;109.87;112.34;21-Aug-2006
100471;Franklin India Bluechip Fund-Growth;109.27;109.27;111.73;22-Aug-2006
100471;Franklin India Bluechip Fund-Growth;107.96;107.96;110.39;23-Aug-2006
100471;Franklin India Bluechip Fund-Growth;109.23;109.23;111.69;24-Aug-2006
100471;Franklin India Bluechip Fund-Growth;110.02;110.02;112.50;25-Aug-2006
100471;Franklin India Bluechip Fund-Growth;110.64;110.64;113.13;28-Aug-2006
100471;Franklin India Bluechip Fund-Growth;111.12;111.12;113.62;29-Aug-2006
100471;Franklin India Bluechip Fund-Growth;111.41;111.41;113.92;30-Aug-2006
100471;Franklin India Bluechip Fund-Growth;110.83;110.83;113.32;31-Aug-2006
100471;Franklin India Bluechip Fund-Growth;111.75;111.75;114.26;01-Sep-2006
100471;Franklin India Bluechip Fund-Growth;113.75;113.75;116.31;04-Sep-2006
100471;Franklin India Bluechip Fund-Growth;113.85;113.85;116.41;05-Sep-2006
100471;Franklin India Bluechip Fund-Growth;114.43;114.43;117.00;06-Sep-2006
100471;Franklin India Bluechip Fund-Growth;113.89;113.89;116.45;07-Sep-2006
100471;Franklin India Bluechip Fund-Growth;114.53;114.53;117.11;08-Sep-2006
100471;Franklin India Bluechip Fund-Growth;110.83;110.83;113.32;11-Sep-2006
100471;Franklin India Bluechip Fund-Growth;111.99;111.99;114.51;12-Sep-2006
100471;Franklin India Bluechip Fund-Growth;113.65;113.65;116.21;13-Sep-2006
100471;Franklin India Bluechip Fund-Growth;114.30;114.30;116.87;14-Sep-2006
100471;Franklin India Bluechip Fund-Growth;114.93;114.93;117.52;15-Sep-2006
100471;Franklin India Bluechip Fund-Growth;115.63;115.63;118.23;18-Sep-2006
100471;Franklin India Bluechip Fund-Growth;113.96;113.96;116.52;19-Sep-2006
100471;Franklin India Bluechip Fund-Growth;115.30;115.30;117.89;20-Sep-2006
100471;Franklin India Bluechip Fund-Growth;116.46;116.46;119.08;21-Sep-2006
100471;Franklin India Bluechip Fund-Growth;116.27;116.27;118.89;22-Sep-2006
100471;Franklin India Bluechip Fund-Growth;115.49;115.49;118.09;25-Sep-2006
100471;Franklin India Bluechip Fund-Growth;116.43;116.43;119.05;26-Sep-2006
